SAMPLE	VAF_MAD	VAF_median	N_mutations	MATH_score	N_Mutations_TMB	TMB
ROP-1-ExC85-xgenV2_S7	0.17650353	0.25	385	70.601412	385	11.28
ROP-100-ExC85-xgenV2_S67	0.168808836	0.4375	205	38.5848768	205	6.01
ROP-102-ExC85-xgenV2_S68	0.196281414	0.4	217	49.0703535	217	6.36
ROP-103-ExC85-xgenV2_S69	0.169223964	0.39823	251	42.4940270697838	251	7.35
ROP-105-ExC85-xgenV2_S70	0.091068705	0.450225	124	20.2273763118441	124	3.63
ROP-107-ExC85-xgenV2_S71	0.042936096	0.20968	5801	20.4769629912247	5801	169.98
ROP-108-ExC85-xgenV2_S72	0.15218889	0.43709	270	34.8186620604452	270	7.91
ROP-109-ExC85-xgenV2_S73	0.224769573	0.307915	226	72.9972794440024	226	6.62
ROP-11-ExC85-xgenV2_S8	0.19933557	0.31111	335	64.0723763299155	335	9.82
ROP-110-ExC85-xgenV2_S74	0.129512523	0.40561	256	31.9303081778063	256	7.5
ROP-112-ExC85-xgenV2_S75	0.271716102	0.3554	205	76.4536021384356	205	6.01
ROP-113-ExC85-xgenV2_S76	0.091654332	0.46067	147	19.8958760066859	147	4.31
ROP-114-ExC85-xgenV2_S77	0.158882829	0.381475	202	41.6496045612425	202	5.92
ROP-115-ExC85-xgenV2_S78	0.155435784	0.4153	180	37.4273498675656	180	5.27
ROP-117-ExC85-xgenV2_S80	0.240077418	0.41872	297	57.3360283721819	297	8.7
ROP-119-ExC85-xgenV2_S82	0.185606694	0.382825	240	48.4834308104225	240	7.03
ROP-12-ExC85-xgenV2_S9	0.177556176	0.419035	208	42.3726361759758	208	6.09
ROP-128-ExC85-xgenV2_S90	0.0461829899999999	0.4794	159	9.6334981226533	159	4.66
ROP-129-ExC85-xgenV2_S91	0.100549932	0.442415	218	22.7275142117695	218	6.39
ROP-133-ExC85-xgenV2_S95	0.087792159	0.1813	528	48.423694980695	528	15.47
ROP-14-ExC85-xgenV2_S10	0.22350195	0.352145	240	63.4687273708274	240	7.03
ROP-15-ExC85-xgenV2_S11	0.210581091	0.379795	258	55.4459882304928	258	7.56
ROP-16-ExC85-xgenV2_S12	0.121632504	0.19969	313	60.9106635284691	313	9.17
ROP-17-ExC85-xgenV2_S13	0.264807186	0.3142	213	84.2798173138129	213	6.24
ROP-18-ExC85-xgenV2_S14	0.145843362	0.375	285	38.8915632	285	8.35
ROP-19-ExC85-xgenV2_S15	0.211908018	0.32374	323	65.4562358682894	323	9.46
ROP-20-ExC85-xgenV2_S16	0.193167954	0.398725	218	48.4464114364537	218	6.39
ROP-24-ExC85-xgenV2_S18	0.067888254	0.46491	141	14.6024507969284	141	4.13
ROP-32-ExC85-xgenV2_S23	0.209091078	0.43664	240	47.8863773360205	240	7.03
ROP-33-ExC85-xgenV2_S24	0.225147636	0.43925	269	51.2572876494024	269	7.88
ROP-34-ExC85-xgenV2_S25	0.081706086	0.47603	153	17.1640623490116	153	4.48
ROP-36-ExC85-xgenV2_S26	0.174739236	0.466195	238	37.4820055985157	238	6.97
ROP-37-ExC85-xgenV2_S27	0.21505113	0.32058	237	67.0818921953958	237	6.94
ROP-38-ExC85-xgenV2_S28	0.111654606	0.44574	211	25.0492677345538	211	6.18
ROP-42-ExC85-xgenV2_S29	0.122410869	0.24158	164	50.670945028562	164	4.81
ROP-44-ExC85-xgenV2_S30	0.167192802	0.4235	245	39.4788198347107	245	7.18
ROP-45-ExC85-xgenV2_S31	0.213887289	0.297015	284	72.0122852381193	284	8.32
ROP-46-ExC85-xgenV2_S32	0.157274208	0.22209	278	70.8155288396596	278	8.15
ROP-47-ExC85-xgenV2_S33	0.23224929	0.39891	217	58.2209746559375	217	6.36
ROP-50-ExC85-xgenV2_S34	0.0509273099999999	0.49132	76	10.3654054384108	76	2.23
ROP-51-ExC85-xgenV2_S35	0.190595643	0.297695	278	64.023797174961	278	8.15
ROP-53-ExC85-xgenV2_S36	0.138452601	0.21464	316	64.5045662504659	316	9.26
ROP-54-ExC85-xgenV2_S37	0.18176676	0.27049	291	67.1990683574254	291	8.53
ROP-56-ExC85-xgenV2_S38	0.206541006	0.333025	266	62.0196699947451	266	7.79
ROP-57-ExC85-xgenV2_S39	0.032409636	0.14505	1001	22.3437683557394	1001	29.33
ROP-58-ExC85-xgenV2_S40	0.211611498	0.339155	258	62.3937426840235	258	7.56
ROP-59-ExC85-xgenV2_S41	0.168705054	0.427645	202	39.4497898958248	202	5.92
ROP-60-ExC85-xgenV2_S42	0.145428234	0.42732	274	34.0326298792474	274	8.03
ROP-61-ExC85-xgenV2_S43	0.204554322	0.28412	121	71.9957489793045	121	3.55
ROP-65-ExC85-xgenV2_S44	0.091046466	0.16667	309	54.6267870642587	309	9.05
ROP-68-ExC85-xgenV2_S45	0.1919967	0.24828	311	77.3307153214113	311	9.11
ROP-69-ExC85-xgenV2_S46	0.199787763	0.422325	260	47.306638962884	260	7.62
ROP-70-ExC85-xgenV2_S47	0.179809728	0.38866	237	46.2640168785056	237	6.94
ROP-71-ExC85-xgenV2_S48	0.075330906	0.478565	122	15.740997774597	122	3.57
ROP-73-ExC85-xgenV2_S49	0.120520554	0.45146	215	26.6957325122934	215	6.3
ROP-75-ExC85-xgenV2_S50	0.115309215	0.369615	230	31.1971145651556	230	6.74
ROP-76-ExC85-xgenV2_S51	0.199565373	0.437705	202	45.5935785517643	202	5.92
ROP-78-ExC85-xgenV2_S52	0.19607385	0.29515	261	66.4319329154667	261	7.65
ROP-81-ExC85-xgenV2_S53	0.146458641	0.220375	26	66.4588274532048	26	0.76
ROP-83-ExC85-xgenV2_S54	0.068837118	0.35484	8517	19.3994808927968	8517	249.57
ROP-85-ExC85-xgenV2_S55	0.143752896	0.37386	221	38.4509966297545	221	6.48
ROP-86-ExC85-xgenV2_S56	0.083781726	0.475005	160	17.6380724413427	160	4.69
ROP-89-ExC85-xgenV2_S57	0.197815905	0.3205	374	61.7210312012481	374	10.96
ROP-90-ExC85-xgenV2_S58	0.036145788	0.16935	2707	21.343837023915	2707	79.32
ROP-91-ExC85-xgenV2_S59	0.2394399	0.27309	38	87.6780182357465	38	1.11
ROP-92-ExC85-xgenV2_S60	0.188319852	0.31933	281	58.9734293677387	281	8.23
ROP-93-ExC85-xgenV2_S61	0.194050101	0.37023	224	52.4133919455474	224	6.56
ROP-94-ExC85-xgenV2_S62	0.18732651	0.29032	239	64.5241492146597	239	7
ROP-95-ExC85-xgenV2_S63	0.240744588	0.305975	288	78.6811301576926	288	8.44
ROP-96-ExC85-xgenV2_S64	0.06352941	0.48864	110	13.0012708742633	110	3.22
ROP-97-ExC85-xgenV2_S65	0.199839654	0.38889	235	51.3871927794492	235	6.89
ROP-98-ExC85-xgenV2_S66	0.175072821	0.416865	188	41.9974862365514	188	5.51
